t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
33,Supplier,0.0,0.0,395.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
33,W1,125.0,0.0,164.0,1172.0,208.0,0.0,EOD,0,0.0,2.5,0.0,17.08,350.0,369.58
33,W2,206.0,0.0,0.0,1435.0,208.0,589.0,EOD,0,0.0,4.12,0.0,17.08,350.0,371.2
33,R1,189.0,0.0,0.0,250.0,149.0,313.0,EOD,149,149.0,5.67,0.0,0.0,0.0,5.67
33,R2,0.0,30.0,0.0,245.0,102.0,0.0,EOD,102,72.0,0.0,15.0,0.0,0.0,15.0
33,R3,195.0,0.0,0.0,959.0,203.0,261.0,EOD,203,203.0,5.85,0.0,0.0,0.0,5.85
34,Supplier,0.0,0.0,208.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
34,W1,497.0,0.0,149.0,1137.0,251.0,638.0,EOD,0,0.0,9.94,0.0,17.51,380.0,407.45
34,W2,3.0,0.0,0.0,1435.0,203.0,0.0,EOD,0,0.0,0.06,0.0,17.03,350.0,367.09
34,R1,23.0,0.0,0.0,250.0,166.0,0.0,EOD,166,166.0,0.69,0.0,0.0,0.0,0.69
34,R2,123.0,0.0,0.0,266.0,92.0,245.0,EOD,92,92.0,3.69,0.0,0.0,0.0,3.69
34,R3,286.0,0.0,0.0,821.0,250.0,341.0,EOD,250,250.0,8.58,0.0,0.0,0.0,8.58
35,Supplier,0.0,0.0,251.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
35,W1,182.0,0.0,92.0,1137.0,258.0,0.0,EOD,0,0.0,3.64,0.0,17.58,350.0,371.22
35,W2,176.0,0.0,0.0,1423.0,250.0,423.0,EOD,0,0.0,3.52,0.0,17.5,350.0,371.02
35,R1,93.0,0.0,0.0,315.0,180.0,250.0,EOD,180,180.0,2.79,0.0,0.0,0.0,2.79
35,R2,0.0,15.0,0.0,266.0,138.0,0.0,EOD,138,123.0,0.0,7.5,0.0,0.0,7.5
35,R3,0.0,14.0,0.0,1071.0,300.0,0.0,EOD,300,286.0,0.0,7.0,0.0,0.0,7.0
36,Supplier,0.0,0.0,250.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,500.0,500.0
36,W1,486.0,0.0,180.0,1112.0,318.0,534.0,EOD,0,0.0,9.72,0.0,18.18,380.0,407.9
36,W2,176.0,0.0,300.0,1423.0,300.0,0.0,EOD,0,0.0,3.52,0.0,18.0,0.0,21.52
